ID,chan_name
0,POL G16
1,POL H12
2,POL H11
3,POL F14
4,POL F13
5,POL F12
6,EEG F9-Ref
7,EEG F10-Ref
8,POL F11
9,POL J16
10,POL J9
11,POL J1
12,POL J2
13,POL J3
14,POL J4
15,POL J5
16,POL J6
17,POL J7
18,POL J8
19,POL H1
20,POL H2
21,POL H3
22,POL H4
23,POL H5
24,POL H6
25,POL H7
26,POL H8
27,POL H9
28,POL H10
29,POL A16
30,POL B16
31,POL B15
32,POL B14
33,POL B13
34,POL B11
35,POL C9
36,POL C10
37,POL C11
38,POL C14
39,POL E15
40,POL E14
41,POL E13
42,POL E12
43,POL E11
44,POL E9
45,POL A7
46,POL A8
47,POL A9
48,POL A11
49,POL A12
50,POL A13
51,POL A14
52,POL A15
53,POL D16
54,POL D15
55,POL D12
56,POL D11
57,POL G10
58,POL G11
59,POL G12
60,POL G13
61,POL G14
62,POL G15
63,POL I10
64,POL I9
65,POL I8
66,POL I7
67,POL I6
68,POL I5
69,POL I4
70,POL I3
71,POL I2
72,POL G1
73,POL D1
74,EEG C3-Ref
75,EEG C2-Ref
76,POL E2
77,POL E1
78,EEG F1-Ref
79,POL B1
80,EEG F2-Ref
81,EEG F3-Ref
82,EEG F4-Ref
83,EEG F5-Ref
84,EEG F6-Ref
85,EEG F7-Ref
86,EEG F8-Ref
87,POL E7
88,POL E6
89,POL E5
90,POL E4
91,POL A3
92,EEG A2-Ref
93,EEG A1-Ref
94,POL E3
95,POL A4
96,POL A5
97,POL A6
98,POL E8
99,POL E10
100,POL C8
101,POL C7
102,EEG C6-Ref
103,EEG C5-Ref
104,EEG C4-Ref
105,EEG C1-Ref
106,POL D2
107,POL D3
108,POL D4
109,POL D5
110,POL D6
111,POL D7
112,POL D8
113,POL D9
114,POL D10
115,POL D13
116,POL D14
117,POL A10
118,POL J12
119,POL B9
120,POL J13
121,POL B10
122,POL J14
123,POL J15
124,POL B8
125,POL B7
126,POL B6
127,POL B5
128,POL B4
129,POL B3
130,POL B2
131,POL J11
132,POL J10
133,POL B12
134,POL C12
135,POL C13
136,POL E16
137,POL G9
138,POL G8
139,POL G7
140,POL G6
141,POL G5
142,POL G4
143,POL G3
144,POL G2
145,POL I1
