ID,chan_name
0,POL P12
1,POL P11
2,EEG P10-Ref
3,EEG P9-Ref
4,EEG P8-Ref
5,EEG P7-Ref
6,EEG P6-Ref
7,EEG P5-Ref
8,EEG P4-Ref
9,EEG P3-Ref
10,EEG P2-Ref
11,POL L8
12,POL L14
13,POL L13
14,POL L12
15,POL L11
16,POL L10
17,POL L9
18,POL M9
19,POL M10
20,POL M11
21,POL M12
22,POL M16
23,POL M15
24,POL M14
25,POL M13
26,POL N13
27,POL N12
28,POL N11
29,POL N10
30,POL N8
31,POL N7
32,POL N6
33,POL N5
34,POL N4
35,POL N3
36,POL N2
37,POL H10
38,POL H15
39,POL H14
40,POL H13
41,POL H12
42,POL B16
43,POL B15
44,POL B14
45,POL B12
46,POL B11
47,POL B10
48,POL B9
49,POL B8
50,POL H4
51,POL H3
52,POL H2
53,POL H1
54,POL B1
55,POL B2
56,POL B3
57,POL B4
58,POL B5
59,POL B6
60,POL B7
61,POL K7
62,POL K6
63,POL K5
64,POL K4
65,POL K1
66,POL K2
67,POL K3
68,EEG F1-Ref
69,EEG F2-Ref
70,EEG F3-Ref
71,EEG F4-Ref
72,EEG F5-Ref
73,EEG F6-Ref
74,POL K12
75,POL K13
76,POL K14
77,POL K15
78,POL K16
79,POL F16
80,POL F15
81,POL F14
82,POL F13
83,POL F12
84,EEG F10-Ref
85,POL F11
86,POL A14
87,POL A13
88,POL A12
89,POL C7
90,POL C12
91,POL C13
92,POL C14
93,POL C15
94,POL C16
95,POL D16
96,POL D12
97,POL D13
98,POL D14
99,POL D15
100,POL J16
101,POL G12
102,POL G11
103,POL G10
104,POL G9
105,POL G8
106,POL G7
107,POL G6
108,POL G5
109,POL G4
110,POL G3
111,POL G2
112,POL G1
113,POL D5
114,POL D6
115,POL D9
116,POL J9
117,POL J10
118,POL J11
119,POL J12
120,POL J13
121,POL J14
122,POL J15
123,POL D11
124,POL D10
125,POL D8
126,POL D7
127,POL J7
128,POL J6
129,POL J5
130,POL J4
131,POL J3
132,POL J2
133,POL J1
134,POL D1
135,POL D2
136,POL D3
137,POL D4
138,POL J8
139,EEG F9-Ref
140,EEG F8-Ref
141,EEG F7-Ref
142,POL K9
143,POL K8
144,POL K10
145,POL K11
146,POL B13
147,POL H9
148,POL H11
149,POL H16
150,POL H8
151,POL H7
152,POL H6
153,POL H5
154,EEG C1-Ref
155,EEG C2-Ref
156,EEG C3-Ref
157,EEG C4-Ref
158,EEG C5-Ref
159,EEG C6-Ref
160,POL C8
161,POL C9
162,POL C10
163,POL C11
164,POL A10
165,POL A11
166,POL A9
167,POL A8
168,POL A7
169,POL A6
170,POL A5
171,POL A4
172,POL A3
173,EEG A2-Ref
174,EEG A1-Ref
175,POL L1
176,POL L2
177,POL L3
178,POL L4
179,POL L5
180,POL L6
181,POL L7
182,POL M7
183,POL M8
184,POL M6
185,POL M5
186,POL M4
187,POL M3
188,EEG M2-Ref
189,EEG M1-Ref
190,POL N1
191,EEG P1-Ref
192,POL N9
193,POL N14
