ID,chan_name
0,POL I10
1,POL I9
2,POL I8
3,POL I7
4,POL I6
5,POL I2
6,POL I1
7,EEG A1-Ref
8,POL E3
9,POL E1
10,POL G1
11,POL G2
12,POL G3
13,POL G4
14,POL H4
15,POL H5
16,POL H6
17,POL H7
18,POL H10
19,POL H9
20,POL H8
21,POL G10
22,POL G11
23,POL G12
24,POL G13
25,POL G14
26,POL E16
27,POL E15
28,POL E14
29,POL E13
30,POL E10
31,POL E11
32,POL C12
33,POL C13
34,POL C16
35,POL C15
36,POL C14
37,POL A13
38,POL A12
39,POL A11
40,POL A10
41,POL A9
42,POL A8
43,POL A7
44,POL A6
45,POL C7
46,EEG C6-Ref
47,EEG C5-Ref
48,EEG C3-Ref
49,EEG C2-Ref
50,EEG C1-Ref
51,POL D1
52,POL H1
53,POL H2
54,POL H3
55,POL D4
56,POL D5
57,POL D6
58,POL D7
59,POL D8
60,POL D9
61,POL D10
62,POL D11
63,POL D12
64,POL A14
65,POL C11
66,POL C10
67,POL C9
68,POL C8
69,POL E7
70,POL E6
71,POL E5
72,POL E4
73,POL E2
74,EEG C4-Ref
75,POL D2
76,POL D3
77,EEG A2-Ref
78,POL A3
79,POL A4
80,POL A5
81,POL E8
82,POL E9
83,POL E12
84,POL G9
85,POL G8
86,POL G7
87,POL G6
88,POL G5
89,POL I3
90,POL I4
91,POL I5
