ID,chan_name
0,POL H14
1,POL G12
2,POL G11
3,POL G5
4,POL G4
5,POL G3
6,POL G2
7,POL A3
8,EEG A1-Ref
9,EEG A2-Ref
10,POL E2
11,POL E1
12,POL H1
13,POL H4
14,POL H3
15,EEG M1-Ref
16,EEG M2-Ref
17,POL M3
18,POL N2
19,POL N3
20,POL N4
21,POL N6
22,POL N7
23,POL N8
24,POL M14
25,POL M13
26,POL M12
27,POL M10
28,POL M9
29,POL M8
30,POL M7
31,POL H9
32,POL H10
33,POL H11
34,POL H12
35,POL H13
36,POL D8
37,POL D9
38,POL D10
39,POL B10
40,POL B9
41,POL B8
42,POL B7
43,POL G8
44,POL G9
45,POL G10
46,POL A16
47,POL A13
48,POL E14
49,POL E13
50,POL E12
51,POL E11
52,POL E10
53,POL L5
54,POL L6
55,POL L7
56,POL L8
57,POL L9
58,POL L12
59,POL L11
60,POL L10
61,POL E9
62,POL E8
63,POL E7
64,POL E6
65,POL E5
66,POL E4
67,POL E3
68,POL A4
69,POL A5
70,POL A6
71,POL A7
72,POL A8
73,POL A9
74,POL A10
75,POL A11
76,POL A12
77,POL A14
78,POL A15
79,POL B6
80,POL B5
81,POL B4
82,POL B3
83,POL B2
84,POL B1
85,POL L1
86,POL L2
87,POL L3
88,POL L4
89,POL G6
90,POL G7
91,POL G1
92,POL D3
93,POL D4
94,POL D5
95,POL D6
96,POL D7
97,POL M11
98,POL N5
99,POL N1
100,POL D1
101,POL D2
102,POL M6
103,POL M5
104,POL M4
105,POL H5
106,POL H6
107,POL H7
108,POL H8
109,POL H2
