ID,chan_name
0,POL K16
1,POL K11
2,POL K10
3,POL K9
4,POL K8
5,POL K7
6,POL K6
7,POL K3
8,POL K1
9,POL B1
10,POL G12
11,POL G11
12,POL G10
13,POL H9
14,POL H10
15,POL H11
16,POL H16
17,POL H15
18,POL H14
19,POL H13
20,POL D12
21,POL D13
22,POL D14
23,POL D15
24,POL A16
25,POL A15
26,POL A13
27,POL F12
28,POL F11
29,EEG F10-Ref
30,EEG F9-Ref
31,EEG F8-Ref-0
32,EEG F7-Ref-0
33,EEG F2-Ref
34,EEG F1-Ref
35,EEG A1-Ref-0
36,EEG C4-Ref-0
37,EEG C3-Ref-0
38,EEG C2-Ref
39,EEG C1-Ref
40,POL E1
41,POL E2
42,POL E3
43,POL E7
44,POL C8
45,POL C9
46,POL C10
47,POL C11
48,POL C14
49,POL C13
50,POL C12
51,POL B13
52,POL B14
53,POL E14
54,POL E13
55,POL E12
56,POL E10
57,POL E11
58,POL E9
59,POL E8
60,POL E6
61,POL E5
62,POL E4
63,POL B5
64,POL B6
65,POL B7
66,POL B8
67,POL B9
68,POL B10
69,POL B11
70,POL B12
71,POL A12
72,POL A11
73,POL A10
74,POL A9
75,POL A8
76,POL A7
77,POL A6
78,POL A5
79,POL A4
80,POL A3
81,EEG A2-Ref-0
82,EEG F3-Ref-0
83,EEG F4-Ref-0
84,EEG F5-Ref
85,EEG F6-Ref
86,EEG C6-Ref
87,POL C7
88,EEG C5-Ref
89,POL B4
90,POL B3
91,POL B2
92,POL D2
93,POL D3
94,POL D4
95,POL D5
96,POL D6
97,POL D7
98,POL D8
99,POL D9
100,POL D10
101,POL D11
102,POL D16
103,POL A14
104,POL G9
105,POL G8
106,POL G7
107,POL G6
108,POL G5
109,POL G4
110,POL G3
111,POL G2
112,POL G1
113,POL H1
114,POL H2
115,POL H3
116,POL H4
117,POL H5
118,POL H6
119,POL H7
120,POL H8
121,POL H12
122,POL D1
123,POL K12
124,POL K13
125,POL K14
126,POL K15
127,POL K5
128,POL K4
129,POL K2
