ID,chan_name
0,POL C16
1,POL C15
2,EEG A1-Ref
3,EEG A2-Ref
4,POL E4
5,POL E3
6,POL E2
7,POL E1
8,EEG F1-Ref
9,EEG C1-Ref
10,EEG C2-Ref
11,EEG C3-Ref
12,POL D3
13,POL D2
14,POL D1
15,POL G1
16,POL G2
17,POL G3
18,POL G10
19,POL G9
20,POL G8
21,POL G7
22,POL G6
23,POL G5
24,POL D5
25,POL D6
26,POL D7
27,POL D8
28,POL D10
29,POL D9
30,POL C9
31,POL C10
32,POL C12
33,POL C13
34,POL C14
35,POL D14
36,POL D13
37,POL D12
38,POL H13
39,POL B12
40,POL B11
41,POL B10
42,POL H9
43,POL H10
44,POL H11
45,POL H12
46,POL A12
47,POL A11
48,POL A10
49,POL A9
50,POL A8
51,POL A7
52,POL A6
53,POL A5
54,POL A4
55,POL H3
56,POL H2
57,POL H1
58,POL B1
59,POL B2
60,POL B3
61,POL B5
62,POL B6
63,POL B7
64,POL B8
65,POL B9
66,POL E9
67,POL E8
68,POL E7
69,EEG F6-Ref
70,EEG F7-Ref
71,EEG F8-Ref
72,EEG F9-Ref
73,EEG F10-Ref
74,POL F11
75,POL F13
76,POL F14
77,POL F15
78,POL E16
79,POL E15
80,POL E14
81,POL E13
82,POL E12
83,POL E11
84,POL E10
85,POL F12
86,POL C11
87,POL C8
88,POL C7
89,EEG C6-Ref
90,EEG C5-Ref
91,EEG C4-Ref
92,EEG F4-Ref
93,EEG F5-Ref
94,EEG F3-Ref
95,EEG F2-Ref
96,POL B4
97,POL H4
98,POL H5
99,POL H6
100,POL H7
101,POL H8
102,POL E6
103,POL E5
104,POL D4
105,POL G4
106,POL D11
107,POL F16
108,POL H14
109,POL A3
