ID,chan_name
0,POL H1
1,POL H2
2,POL H3
3,POL H13
4,POL H14
5,POL E14
6,POL E13
7,POL E12
8,POL E11
9,POL E8
10,POL E4
11,POL E3
12,POL E2
13,POL E1
14,EEG F1-Ref
15,EEG F2-Ref
16,EEG F3-Ref
17,POL A16
18,POL A15
19,POL A14
20,POL A13
21,POL A12
22,POL A11
23,POL A10
24,POL A9
25,POL A8
26,POL A5
27,POL A4
28,EEG A2-Ref
29,EEG A1-Ref
30,EEG C2-Ref
31,EEG C1-Ref
32,POL D1
33,POL D2
34,POL B4
35,POL B5
36,POL B6
37,POL B7
38,POL B8
39,POL B9
40,POL B10
41,POL B11
42,POL B12
43,POL B13
44,POL B14
45,POL D14
46,POL D13
47,POL D12
48,POL D11
49,POL D10
50,POL D9
51,POL D8
52,POL D7
53,POL D6
54,EEG C6-Ref
55,POL C7
56,POL C8
57,POL C9
58,POL C10
59,POL C11
60,POL C12
61,POL C13
62,POL C14
63,POL A7
64,POL A6
65,POL A3
66,EEG F4-Ref
67,EEG F5-Ref
68,EEG F6-Ref
69,EEG F7-Ref
70,EEG F8-Ref
71,EEG F9-Ref
72,EEG F10-Ref
73,POL F11
74,POL F12
75,POL F13
76,POL F14
77,POL F15
78,POL F16
79,POL E10
80,POL E9
81,POL E7
82,POL E6
83,POL E5
84,POL H5
85,POL H6
86,POL H7
87,POL H8
88,POL H9
89,POL H10
90,POL H11
91,POL H12
92,POL H4
93,POL B3
94,POL B2
95,POL B1
96,POL D3
97,POL D4
98,POL D5
99,EEG C5-Ref
100,EEG C4-Ref
101,EEG C3-Ref
