ID,chan_name
0,POL G1
1,POL D14
2,POL D13
3,POL B12
4,POL C14
5,POL C13
6,POL C12
7,POL C11
8,POL C10
9,POL B5
10,POL B6
11,POL B9
12,POL B10
13,POL B11
14,POL A12
15,POL A11
16,POL A10
17,POL A8
18,POL A7
19,POL J1
20,POL J2
21,POL J3
22,POL J4
23,POL J5
24,POL J6
25,POL J7
26,POL J8
27,POL J9
28,POL J10
29,POL J11
30,POL J12
31,POL J13
32,POL J14
33,POL J15
34,POL J16
35,POL D9
36,POL D10
37,POL D11
38,POL D12
39,POL G16
40,POL G11
41,POL G12
42,POL G13
43,POL G14
44,POL G15
45,POL H11
46,POL H10
47,POL H9
48,POL H8
49,POL H7
50,POL E8
51,POL E9
52,POL E10
53,POL E12
54,POL E11
55,POL F12
56,POL F11
57,EEG F10-Ref
58,EEG F9-Ref
59,EEG F7-Ref
60,EEG F4-Ref
61,POL G6
62,POL G5
63,POL G4
64,POL G3
65,POL G2
66,EEG F1-Ref
67,EEG F2-Ref
68,POL E1
69,POL E2
70,POL E3
71,POL E4
72,POL H1
73,POL D1
74,POL D3
75,POL D4
76,POL D5
77,POL D6
78,POL D7
79,POL D8
80,POL H6
81,POL H5
82,POL H4
83,POL H3
84,POL H2
85,POL D2
86,EEG C1-Ref
87,EEG C2-Ref
88,EEG C3-Ref
89,EEG C4-Ref
90,EEG C5-Ref
91,EEG C6-Ref
92,POL C7
93,POL C8
94,POL C9
95,POL B8
96,POL B7
97,POL B4
98,POL B3
99,POL B2
100,POL B1
101,EEG A1-Ref
102,EEG A2-Ref
103,POL A3
104,POL A4
105,POL A5
106,POL A6
107,POL A9
108,POL D15
109,POL D16
110,POL H12
111,POL E14
112,POL E13
113,POL E7
114,POL E6
115,POL E5
116,EEG F6-Ref
117,EEG F5-Ref
118,EEG F3-Ref
119,POL G7
120,POL G8
121,POL G9
122,POL G10
123,EEG F8-Ref
