ID,chan_name
0,POL E12
1,POL E11
2,POL E10
3,POL E9
4,POL E8
5,POL E7
6,POL E6
7,POL E5
8,POL N2
9,POL N1
10,POL D1
11,POL D2
12,POL D3
13,POL D5
14,POL D6
15,POL D7
16,POL D8
17,POL D14
18,POL D13
19,POL D12
20,POL D11
21,POL D10
22,POL D9
23,POL N16
24,POL N15
25,POL H1
26,EEG O1-Ref
27,EEG O2-Ref
28,POL O3
29,POL O4
30,POL O8
31,POL O7
32,POL N11
33,POL N12
34,POL N13
35,POL N14
36,POL L16
37,POL L15
38,POL L14
39,POL L13
40,POL L12
41,POL L11
42,POL L10
43,EEG P1-Ref
44,EEG P2-Ref
45,POL L9
46,POL L8
47,POL L7
48,POL L6
49,POL L5
50,POL L4
51,POL L3
52,POL L2
53,POL L1
54,EEG M1-Ref
55,EEG F3-Ref
56,EEG F4-Ref
57,EEG F6-Ref
58,EEG F7-Ref
59,EEG F8-Ref
60,POL P14
61,POL P13
62,POL P12
63,POL P11
64,EEG P9-Ref
65,EEG F10-Ref
66,POL F11
67,EEG P10-Ref
68,POL F12
69,POL F16
70,POL F15
71,POL F14
72,POL F13
73,POL O11
74,POL O12
75,POL O13
76,POL O14
77,POL H16
78,POL H15
79,POL H14
80,POL H13
81,POL H12
82,POL H11
83,POL H10
84,POL H9
85,POL M13
86,POL H8
87,POL H7
88,POL H6
89,POL H5
90,POL H4
91,POL H3
92,POL H2
93,POL O5
94,POL O6
95,POL N10
96,POL N9
97,EEG P6-Ref
98,POL N8
99,EEG P5-Ref
100,EEG P4-Ref
101,EEG P3-Ref
102,POL N7
103,POL N6
104,POL N5
105,POL N4
106,POL N3
107,POL D4
108,EEG M2-Ref
109,POL M3
110,POL M4
111,POL M5
112,POL M6
113,POL M7
114,POL M8
115,POL M9
116,POL M10
117,POL M11
118,POL M12
119,POL M14
120,POL M15
121,POL M16
122,POL O10
123,POL O9
124,EEG P8-Ref
125,EEG P7-Ref
126,EEG F9-Ref
127,EEG F5-Ref
128,EEG F2-Ref
129,EEG F1-Ref
130,POL E1
131,POL E2
132,POL E3
133,POL E4
134,POL E13
135,POL E14
136,POL E15
137,POL E16
