ID,chan_name
0,POL G1
1,POL G2
2,EEG F6-Ref
3,EEG F1-Ref
4,EEG F2-Ref
5,EEG F3-Ref
6,EEG F4-Ref
7,EEG F5-Ref
8,POL A9
9,POL A10
10,POL A11
11,POL A14
12,POL A13
13,POL D7
14,POL D6
15,POL D4
16,POL D3
17,POL D2
18,POL D1
19,POL E1
20,POL E2
21,POL E3
22,POL E4
23,POL E5
24,POL E6
25,POL E10
26,POL E9
27,POL E8
28,POL G16
29,POL G15
30,POL G14
31,POL G13
32,POL G12
33,POL G8
34,POL G9
35,POL G10
36,POL G11
37,POL H11
38,POL H12
39,POL H13
40,POL H14
41,POL H16
42,POL H15
43,POL F16
44,POL F15
45,POL F14
46,POL F13
47,POL F12
48,EEG F7-Ref
49,EEG F8-Ref
50,EEG F10-Ref
51,POL C11
52,POL C12
53,POL C13
54,POL B13
55,POL B12
56,POL B11
57,POL B10
58,POL B9
59,POL B6
60,POL B5
61,POL B4
62,POL B3
63,POL B2
64,POL B1
65,EEG A1-Ref
66,EEG A2-Ref
67,POL A3
68,POL A4
69,POL A5
70,POL A6
71,POL A7
72,POL A8
73,POL A12
74,POL D5
75,POL D8
76,POL E7
77,POL C10
78,POL C9
79,POL C8
80,POL C7
81,EEG C6-Ref
82,EEG C5-Ref
83,EEG C4-Ref
84,EEG C3-Ref
85,EEG C2-Ref
86,EEG C1-Ref
87,POL B7
88,POL B8
89,EEG F9-Ref
90,POL F11
91,POL C14
92,POL B14
93,POL H10
94,POL H9
95,POL H8
96,POL H7
97,POL H6
98,POL H5
99,POL H4
100,POL H3
101,POL H2
102,POL H1
103,POL G3
104,POL G4
105,POL G5
106,POL G6
107,POL G7
