ID,channels
0,POL B12
1,POL B11
2,POL B10
3,POL B9
4,POL B8
5,POL B7
6,POL B6
7,POL B5
8,POL B4
9,POL B3
10,POL B2
11,POL B1
12,POL H1
13,POL H2
14,POL H3
15,POL H4
16,POL H5
17,POL H6
18,POL H7
19,POL H8
20,POL H9
21,POL H10
22,POL H11
23,POL H12
24,POL H13
25,POL H14
26,POL A12
27,POL A11
28,POL A10
29,POL A9
30,POL A8
31,POL A7
32,POL A6
33,POL A5
34,POL A4
35,POL A3
36,EEG A2-Ref
37,EEG A1-Ref
38,POL E1
39,POL E2
40,POL E3
41,POL E4
42,POL E5
43,POL E6
44,POL E7
45,POL E8
46,POL E9
47,POL E10
48,POL E11
49,POL E12
50,POL E13
51,POL E14
52,POL E15
53,POL E16
54,POL F16
55,POL F15
56,POL F14
57,POL F13
58,POL F12
59,POL F11
60,EEG F10-Ref
61,EEG F9-Ref
62,EEG F8-Ref
63,EEG F7-Ref
64,EEG F6-Ref
65,EEG F5-Ref
66,EEG F4-Ref
67,EEG F3-Ref
68,EEG F2-Ref
69,EEG F1-Ref
70,EEG C1-Ref
71,EEG C2-Ref
72,EEG C3-Ref
73,EEG C4-Ref
74,EEG C5-Ref
75,EEG C6-Ref
76,POL C7
77,POL C8
78,POL C9
79,POL C10
80,POL C11
81,POL C12
82,POL C13
83,POL C14
84,POL C15
85,POL C16
86,POL D14
87,POL D13
88,POL D12
89,POL D11
90,POL D10
91,POL D9
92,POL D8
93,POL D7
94,POL D6
95,POL D5
96,POL D4
97,POL D3
98,POL D2
99,POL D1
100,POL G1
101,POL G2
102,POL G3
103,POL G4
104,POL G5
105,POL G6
106,POL G7
107,POL G8
108,POL G9
109,POL G10
