ID,channels
0,POL F16
1,POL F15
2,POL F14
3,POL F13
4,POL F12
5,POL F11
6,EEG F10-Ref
7,EEG F9-Ref
8,EEG F8-Ref
9,EEG F7-Ref
10,EEG F6-Ref
11,EEG F5-Ref
12,EEG F4-Ref
13,EEG F3-Ref
14,EEG F2-Ref
15,EEG F1-Ref
16,EEG A1-Ref
17,EEG A2-Ref
18,POL A3
19,POL A4
20,POL A5
21,POL A6
22,POL A7
23,POL A8
24,POL A9
25,POL A10
26,POL A11
27,POL A12
28,POL A13
29,POL A14
30,POL A15
31,POL A16
32,POL C14
33,POL C13
34,POL C12
35,POL C11
36,POL C10
37,POL C9
38,POL C8
39,POL C7
40,EEG C6-Ref
41,EEG C5-Ref
42,EEG C4-Ref
43,EEG C3-Ref
44,EEG C2-Ref
45,EEG C1-Ref
46,POL D1
47,POL D2
48,POL D3
49,POL D4
50,POL D5
51,POL D6
52,POL D7
53,POL D8
54,POL D9
55,POL D10
56,POL D11
57,POL D12
58,POL D13
59,POL D14
60,POL B14
61,POL B13
62,POL B12
63,POL B11
64,POL B10
65,POL B9
66,POL B8
67,POL B7
68,POL B6
69,POL B5
70,POL B4
71,POL B3
72,POL B2
73,POL B1
74,POL E1
75,POL E2
76,POL E3
77,POL E4
78,POL E5
79,POL E6
80,POL E7
81,POL E8
82,POL E9
83,POL E10
84,POL E11
85,POL E12
86,POL E13
87,POL E14
88,POL H14
89,POL H13
90,POL H12
91,POL H11
92,POL H10
93,POL H9
94,POL H8
95,POL H7
96,POL H6
97,POL H5
98,POL H4
99,POL H3
100,POL H2
101,POL H1
