ID,channels
0,POL C11
1,POL C10
2,POL C9
3,POL C8
4,POL C7
5,EEG C6-Ref
6,EEG C5-Ref
7,EEG C4-Ref
8,EEG C3-Ref
9,EEG C2-Ref
10,EEG C1-Ref
11,POL B1
12,POL B2
13,POL B3
14,POL B4
15,POL B5
16,POL B6
17,POL B7
18,POL B8
19,POL B9
20,POL B10
21,POL B11
22,POL B12
23,POL C12
24,POL C13
25,POL C14
26,POL D16
27,POL D15
28,POL D14
29,POL D13
30,POL D12
31,POL D11
32,POL D10
33,POL D9
34,POL D8
35,POL D7
36,POL D6
37,POL D5
38,POL D4
39,POL D3
40,POL D2
41,POL D1
42,POL H1
43,POL H2
44,POL H3
45,POL H4
46,POL H5
47,POL H6
48,POL H7
49,POL H8
50,POL H9
51,POL H10
52,POL H11
53,POL H12
54,POL E14
55,POL E13
56,POL E12
57,POL E11
58,POL E10
59,POL E9
60,POL E8
61,POL E7
62,POL E6
63,POL E5
64,POL E4
65,POL E3
66,POL E2
67,POL E1
68,EEG F2-Ref
69,EEG F1-Ref
70,POL G2
71,POL G3
72,POL G4
73,POL G5
74,POL G6
75,POL G7
76,POL G8
77,POL G9
78,POL G10
79,POL G11
80,POL G12
81,POL G13
82,POL G14
83,POL G15
84,POL G16
85,POL F12
86,POL F11
87,EEG F10-Ref
88,EEG F9-Ref
89,EEG F8-Ref
90,EEG F7-Ref
91,EEG F6-Ref
92,EEG F5-Ref
93,EEG F4-Ref
94,EEG F3-Ref
95,POL G1
96,POL J16
97,POL J15
98,POL J14
99,POL J13
100,POL J12
101,POL J11
102,POL J10
103,POL J9
104,POL J8
105,POL J7
106,POL J6
107,POL J5
108,POL J4
109,POL J3
110,POL J2
111,POL J1
112,POL A7
113,POL A6
114,POL A5
115,POL A4
116,POL A3
117,EEG A2-Ref
118,EEG A1-Ref
119,POL A8
120,POL A9
121,POL A10
122,POL A11
123,POL A12
