ID,channels
0,POL L4
1,POL L3
2,POL L2
3,POL L1
4,POL N1
5,POL N2
6,POL N3
7,POL N4
8,POL N5
9,POL N6
10,POL N7
11,POL N8
12,EEG P6-Ref
13,POL N9
14,POL N10
15,POL N11
16,POL N12
17,POL N13
18,POL N14
19,POL N15
20,POL N16
21,POL L16
22,POL L15
23,POL L14
24,POL L13
25,POL L12
26,POL L11
27,POL L10
28,POL L9
29,EEG P3-Ref
30,EEG P4-Ref
31,EEG P5-Ref
32,EEG P7-Ref
33,EEG P8-Ref
34,EEG P9-Ref
35,EEG P10-Ref
36,POL F11
37,EEG F10-Ref
38,EEG F9-Ref
39,EEG F8-Ref
40,EEG F7-Ref
41,POL B5
42,EEG F6-Ref
43,POL B4
44,EEG F5-Ref
45,POL B3
46,POL B2
47,POL B1
48,EEG C3-Ref
49,EEG C2-Ref
50,EEG C1-Ref
51,EEG C4-Ref
52,EEG C5-Ref
53,EEG C6-Ref
54,POL C7
55,POL A 4
56,POL C8
57,POL A 5
58,POL C9
59,POL C10
60,POL C11
61,POL C12
62,POL C13
63,POL C14
64,POL C15
65,POL C16
66,POL O14
67,POL O13
68,POL O12
69,POL O11
70,POL O10
71,POL O9
72,POL O8
73,POL O7
74,POL O6
75,POL O5
76,POL O4
77,POL O3
78,EEG O2-Ref
79,EEG O1-Ref
80,EEG P1-Ref
81,EEG P2-Ref
82,POL L8
83,POL L7
84,POL L6
85,POL L5
86,POL D2
87,POL D1
88,POL D3
89,POL D4
90,POL D5
91,POL D6
92,POL D7
93,POL D8
94,POL D9
95,POL D10
96,POL D11
97,POL D12
98,POL D13
99,POL D14
100,POL A 9
101,POL A 8
102,POL A 7
103,POL A 6
104,POL P11
105,POL P12
106,POL P13
107,POL P14
108,POL A 10
109,POL A 11
110,POL A 12
111,POL A 13
112,POL A 14
113,POL F16
114,POL F15
115,POL F14
116,POL F13
117,POL F12
118,POL B8
119,POL B9
120,POL B10
121,POL B11
122,POL B12
123,POL B13
124,POL B14
125,POL B15
126,POL B16
127,POL M16
128,POL M15
129,POL M14
130,POL H9
131,POL M13
132,POL H8
133,POL H7
134,POL H6
135,POL H5
136,POL H4
137,POL H3
138,POL H2
139,POL H1
140,POL M11
141,POL M10
142,POL M9
143,POL M8
144,POL M7
145,POL M6
146,POL M5
147,POL M4
148,POL M3
149,EEG M2-Ref
150,EEG M1-Ref
151,EEG F1-Ref
152,EEG F2-Ref
153,EEG F3-Ref
154,EEG F4-Ref
155,POL A 1
156,POL A 2
157,POL A 3
158,POL B6
159,POL B7
160,POL M12
161,POL H10
162,POL H11
163,POL H12
164,POL H13
165,POL H14
166,POL H15
167,POL H16
168,POL E5
169,POL E4
170,POL E3
171,POL E2
172,POL E1
173,POL E6
174,POL E7
175,POL E8
176,POL E9
177,POL E10
178,POL E11
179,POL E12
180,POL E13
181,POL E14
182,POL E15
183,POL E16
