ID,channels
0,POL G1
1,POL G2
2,POL G3
3,POL G4
4,POL G5
5,POL G6
6,POL G7
7,POL G8
8,POL G9
9,POL G10
10,POL G11
11,POL G12
12,POL G13
13,POL G14
14,POL G15
15,POL G16
16,POL D16
17,POL D15
18,POL D14
19,POL D13
20,POL D12
21,POL D11
22,POL D10
23,POL D9
24,POL D8
25,POL D7
26,POL D6
27,POL D5
28,POL D4
29,POL D3
30,POL D2
31,POL D1
32,EEG C1-Ref
33,EEG C2-Ref
34,EEG C3-Ref
35,EEG C4-Ref
36,EEG C5-Ref
37,EEG C6-Ref
38,POL C7
39,POL C8
40,POL C9
41,POL C10
42,POL C11
43,POL C12
44,POL C13
45,POL C14
46,POL E15
47,POL E16
48,POL E14
49,POL E13
50,POL E12
51,POL E11
52,POL E10
53,POL E9
54,POL E8
55,POL E7
56,POL E6
57,POL E5
58,POL E4
59,POL A3
60,EEG A2-Ref
61,EEG A1-Ref
62,POL E3
63,POL E2
64,POL E1
65,EEG F2-Ref
66,POL B1
67,POL B2
68,POL B3
69,POL B4
70,POL B5
71,POL B6
72,POL B7
73,POL B8
74,POL B9
75,POL J12
76,POL B10
77,POL J13
78,POL J14
79,POL J15
80,POL J16
81,POL F11
82,EEG F10-Ref
83,EEG F9-Ref
84,EEG F8-Ref
85,EEG F7-Ref
86,EEG F6-Ref
87,EEG F5-Ref
88,EEG F4-Ref
89,EEG F3-Ref
90,EEG F1-Ref
91,POL A4
92,POL A5
93,POL A6
94,POL A7
95,POL A8
96,POL A9
97,POL A10
98,POL A11
99,POL A12
100,POL A13
101,POL A14
102,POL A15
103,POL A16
104,POL B16
105,POL B15
106,POL B14
107,POL B13
108,POL B12
109,POL B11
110,POL J11
111,POL J10
112,POL J9
113,POL J8
114,POL J7
115,POL J6
116,POL J5
117,POL J4
118,POL J3
119,POL J2
120,POL J1
121,POL I4
122,POL I3
123,POL I2
124,POL I1
125,POL I5
126,POL I6
127,POL I7
128,POL I8
129,POL I9
130,POL I10
131,POL H8
132,POL H9
133,POL H10
134,POL H11
135,POL H12
136,POL H7
137,POL H6
138,POL H5
139,POL H4
140,POL H3
141,POL H2
142,POL H1
143,POL F12
144,POL F13
145,POL F14
