ID,chan_name
0,POL A14
1,POL A13
2,POL A12
3,POL A11
4,POL A10
5,POL A9
6,POL A8
7,POL A7
8,POL A6
9,POL A5
10,POL A4
11,POL A3
12,EEG A2-Ref
13,EEG A1-Ref
14,EEG C1-Ref
15,EEG C2-Ref
16,EEG C3-Ref
17,EEG C4-Ref
18,EEG C5-Ref
19,EEG C6-Ref
20,POL C7
21,POL C8
22,POL C9
23,POL C10
24,POL C11
25,POL C12
26,POL C13
27,POL C14
28,POL C15
29,POL C16
30,POL D16
31,POL D15
32,POL D14
33,POL D13
34,POL D12
35,POL D11
36,POL D10
37,POL D9
38,POL D8
39,POL D7
40,POL D6
41,POL D5
42,POL D4
43,POL D3
44,POL D2
45,POL D1
46,POL J1
47,POL J2
48,POL J3
49,POL J4
50,POL J5
51,POL J6
52,POL J7
53,POL J8
54,POL J9
55,POL J10
56,POL J11
57,POL J12
58,POL J13
59,POL J14
60,POL J15
61,POL J16
62,POL G12
63,POL G11
64,POL G10
65,POL G9
66,POL G8
67,POL G7
68,POL G6
69,POL G5
70,POL G4
71,POL G3
72,POL G2
73,POL G1
74,POL H8
75,POL H7
76,POL H6
77,POL H5
78,POL H4
79,POL H3
80,POL H2
81,POL H1
82,POL B1
83,POL B2
84,POL B3
85,POL B4
86,POL B5
87,POL B6
88,POL B7
89,POL B8
90,POL B9
91,POL B10
92,POL B11
93,POL B12
94,POL B13
95,POL B14
96,POL B15
97,POL B16
98,POL F14
99,POL F15
100,POL F16
101,POL F13
102,POL F12
103,POL F11
104,EEG F10-Ref
105,EEG F9-Ref
106,EEG F8-Ref
107,EEG F7-Ref
108,EEG F6-Ref
109,EEG F5-Ref
110,EEG F4-Ref
111,EEG F3-Ref
112,EEG F2-Ref
113,EEG F1-Ref
114,POL K3
115,POL K2
116,POL K1
117,POL K4
118,POL K5
119,POL K6
120,POL K7
121,POL K8
122,POL K9
123,POL K10
124,POL K11
125,POL K12
126,POL K13
127,POL K14
128,POL K15
129,POL K16
130,POL H12
131,POL H13
132,POL H14
133,POL H15
134,POL H16
135,POL H11
136,POL H10
137,POL H9
138,EEG M1-Ref
139,EEG M2-Ref
140,POL M3
141,POL M4
142,POL M5
143,POL M6
144,POL M7
145,POL M8
146,POL M9
147,POL M10
148,POL M11
149,POL M12
150,POL M13
151,POL M14
152,POL M15
153,POL M16
154,POL L14
155,POL L13
156,POL L12
157,POL L11
158,POL L10
159,POL L9
160,POL L8
161,POL L7
162,POL L6
163,POL L5
164,POL L4
165,POL L3
166,POL L2
167,POL L1
168,POL N1
169,POL N2
170,POL N3
171,POL N4
172,POL N5
173,POL N6
174,POL N7
175,POL N8
176,POL N9
177,POL N10
178,POL N11
179,POL N12
180,POL N13
181,POL N14
182,POL P12
183,POL P11
184,EEG P10-Ref
185,EEG P9-Ref
186,EEG P8-Ref
187,EEG P7-Ref
188,EEG P6-Ref
189,EEG P5-Ref
190,EEG P4-Ref
191,EEG P3-Ref
192,EEG P2-Ref
193,EEG P1-Ref
