ID,chan_name
0,EEG C2-Ref
1,EEG C3-Ref
2,EEG C4-Ref
3,EEG C5-Ref
4,EEG C6-Ref
5,POL C7
6,POL C8
7,POL C9
8,POL C10
9,POL C11
10,POL C12
11,POL C13
12,POL C14
13,POL C15
14,POL C16
15,POL A14
16,POL A13
17,POL A12
18,POL A11
19,POL A10
20,POL A9
21,POL A8
22,POL A7
23,POL A6
24,POL A5
25,POL A4
26,POL A3
27,EEG A2-Ref
28,EEG A1-Ref
29,POL D2
30,POL D3
31,POL D4
32,POL D5
33,POL D6
34,POL D7
35,POL D8
36,POL D9
37,POL D10
38,POL D11
39,POL D12
40,POL H10
41,POL H9
42,POL H8
43,POL H7
44,POL H6
45,POL H5
46,POL H4
47,POL H3
48,POL H2
49,POL H1
50,POL D1
51,EEG C1-Ref
52,POL E1
53,POL E2
54,POL E3
55,POL E4
56,POL E5
57,POL E6
58,POL E7
59,POL E8
60,POL E9
61,POL E10
62,POL E11
63,POL E12
64,POL E13
65,POL E14
66,POL E15
67,POL E16
68,POL G14
69,POL G13
70,POL G12
71,POL G11
72,POL G10
73,POL G9
74,POL G8
75,POL G7
76,POL G6
77,POL G5
78,POL G4
79,POL G3
80,POL G2
81,POL G1
82,POL I1
83,POL I2
84,POL I3
85,POL I4
86,POL I5
87,POL I6
88,POL I7
89,POL I8
90,POL I9
91,POL I10
