ID,chan_name
0,POL H1
1,POL H2
2,POL H3
3,POL H4
4,POL H5
5,POL H6
6,POL H7
7,POL H8
8,POL M13
9,POL H9
10,POL M14
11,POL M15
12,POL M16
13,POL H10
14,POL H11
15,POL H12
16,POL H13
17,POL H14
18,POL H15
19,POL H16
20,POL O14
21,POL O13
22,POL O12
23,POL O11
24,POL O10
25,POL O9
26,POL O8
27,POL O7
28,POL O6
29,POL O5
30,POL O4
31,POL O3
32,EEG O2-Ref
33,EEG O1-Ref
34,EEG P1-Ref
35,EEG P2-Ref
36,POL L9
37,EEG P3-Ref
38,EEG P4-Ref
39,EEG P5-Ref
40,POL N8
41,EEG P6-Ref
42,POL N9
43,POL N10
44,POL N11
45,POL N12
46,POL N13
47,POL N14
48,POL N15
49,POL N16
50,POL L16
51,POL L15
52,POL L14
53,POL L13
54,POL L12
55,POL L11
56,POL L10
57,POL L8
58,POL L7
59,POL L6
60,POL L5
61,POL L4
62,POL L3
63,POL L2
64,POL L1
65,POL N1
66,POL N2
67,POL N3
68,POL N4
69,POL N5
70,POL N6
71,POL N7
72,EEG P7-Ref
73,EEG P8-Ref
74,EEG P9-Ref
75,EEG P10-Ref
76,POL F11
77,EEG F10-Ref
78,EEG F9-Ref
79,EEG F8-Ref
80,EEG F7-Ref
81,EEG F6-Ref
82,EEG F5-Ref
83,EEG F4-Ref
84,EEG F3-Ref
85,EEG F2-Ref
86,EEG F1-Ref
87,POL M3
88,EEG M2-Ref
89,EEG M1-Ref
90,POL M4
91,POL M5
92,POL M6
93,POL M7
94,POL M8
95,POL M9
96,POL M10
97,POL M11
98,POL M12
99,POL F12
100,POL F13
101,POL F14
102,POL F15
103,POL F16
104,POL P11
105,POL P12
106,POL P13
107,POL P14
108,POL D14
109,POL D13
110,POL D12
111,POL D11
112,POL D10
113,POL D9
114,POL D8
115,POL D7
116,POL D6
117,POL D5
118,POL D4
119,POL D3
120,POL D2
121,POL D1
122,POL E1
123,POL E2
124,POL E3
125,POL E4
126,POL E5
127,POL E6
128,POL E7
129,POL E8
130,POL E9
131,POL E10
132,POL E11
133,POL E12
134,POL E13
135,POL E14
136,POL E15
137,POL E16
